osmid,unique_id,element_type,amenity,compressed_air,name,opening_hours,geometry_polygon,check_date,denomination,religion,access,capacity,fee,parking,toilets:disposal,wheelchair,barrier,bus,note,public_transport,cuisine,internet_access,addr:city,addr:housenumber,addr:street,phone,smoking,stars,wikidata,description,addr:district,addr:full,addr:province,addr:subdistrict,ele,isced:level,ref,source,brand,brand:wikidata,brand:wikipedia,drive_through,name:ja,operator,outdoor_seating,takeaway,contact:facebook,name:es,name:fr,addr:postcode,email,name:en,alt_name,level,website,indoor_seating,internet_access:fee,fax,url,studio,internet_access:ssid,fuel:octane_80,fuel:octane_91,atm,cash_in,addr:country,contact:phone,contact:website,social_facility,addr:housename,addr:block,addr:neighbourhood,addr:plot,fuel:diesel,currency:PEN,currency:USD,shop,automated,self_service,fuel:lpg,fuel:octane_84,fuel:octane_90,fuel:octane_94,name:ko,highway,cuisine:en,cuisine:es,diet:vegan,diet:vegetarian,name:de,contact:email,building:levels,delivery,backrest,short_name,bar,charge,addr:state,opening_hours:covid19,name:he,name:zh,air_conditioning,payment:cash,payment:credit_cards,man_made,name:nl,organic,old_name,ref:category,ref:microred,ref:red,contact:twitter,start_date,diet:gluten_free,diet:chicken,diet:fish,diet:healthy,diet:meat,diet:organic,diet:rice,diet:seafood,payment:american_express,payment:apple_pay,payment:coins,payment:contactless,payment:debit_cards,payment:diners_club,payment:discover_card,payment:mastercard,payment:visa,payment:visa_debit,toilets,tourism,description:en,material,seats,building,fixme,changing_table,supervised,toilets:access,toilets:paper_supplied,unisex,healthcare,female,male,toilets:position,check_date:opening_hours,post_box:type,cafe,int_name,internet_access:type,phone:PE,operator:type,bicycle_parking,school,dispensing,colour,operator:wikidata,addr:suburb,recycling:plastic_bottles,brewery,microbrewery,location,recycling_type,real_fire,street_vendor,highchair,parking:fee,social_facility:for,opening_hours:signed,object:city,object:street,covered,nodes,wikipedia,ele:source,height,emergency,nohousenumber,maxstay,government,office,shelter_type,place,roof:colour,healthcare:speciality,official_name,official_name:en,official_name:es,historic,roof:shape,smoothness,surface,layer,contact:pinterest,contact:youtube,full_name,orientation,ways,type,isPoint,geometry,gtransporte_osmid,gtransporte_dist
633941070,node/633941070,node,restaurant,,Heidi,,POINT (-71.97549770000001 -13.515547),,,,,,,,,,,,,,german,no,Cusco,525,Cuesta SanBlas,+51 84 238383,no,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,POINT (-71.97549770000001 -13.515547),5310407103,0.0008105849061053339
801679696,node/801679696,node,place_of_worship,,San Pedro,,POINT (-71.9835197 -13.5207975),2023-08-04,roman_catholic,christian,,,,,,,,,,,,,,,,,,,Q25893292,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,POINT (-71.9835197 -13.5207975),30986583,0.0001742701638269825
802826322,node/802826322,node,cafe,,Cafe Punchay,,POINT (-71.9764886 -13.5146702),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,POINT (-71.9764886 -13.5146702),5310407103,0.0020543556118660135
874430106,node/874430106,node,fuel,,,,POINT (-71.8870443 -13.5471527),,,,,,,,,,,,,,,,,,,,,,,En route to the Palcoyo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,POINT (-71.8870443 -13.5471527),30964499,0.00019490561818555815
874430114,node/874430114,node,marketplace,,,,POINT (-71.9210935 -13.4834682),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,POINT (-71.9210935 -13.4834682),30966211,0.02550418140031978
874430116,node/874430116,node,fuel,yes,,,POINT (-71.898135 -13.54261),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,POINT (-71.898135 -13.54261),6810248693,0.00011831234085857619
874430122,node/874430122,node,school,,Institución Educativa 51015 San Francisco de Borja,,POINT (-71.9786579 -13.5153645),,,,,,,,,,,,Ubicacion_web_med (local),,,,Cusco,,Resbalosa,,,,,,Cusco,Parque Tricentenario S/n,Cusco,Cusco,3400,1;2,0206136;0579151,minedu.gob.pe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,POINT (-71.9786579 -13.5153645),30972890,0.0022155316698216974
874430128,node/874430128,node,kindergarten,,,,POINT (-71.889207 -13.5464461),,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,POINT (-71.889207 -13.5464461),1005296814,0.00024649300192745947
900135534,node/900135534,node,fast_food,,McDonald's,Su-Th 07:00-02:00; Fr-Sa 00:00-24:00,POINT (-71.97868339999999 -13.5158522),,,,,,,,,,,,,,burger,,,,Plaza de Armas,,,,,,,,,,,,,,McDonald's,Q38076,en:McDonald's,no,マクドナルド,McDonald's,no,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,POINT (-71.97868339999999 -13.5158522),30983668,0.002163540713748418
900135535,node/900135535,node,restaurant,,Papillion,"Mo 17:30-21:30; Tu-Fr 11:30-14:00, 17:30-21:30; Sa 17:30-22:30; Su 17:00-21:00",POINT (-71.9787511 -13.5158079),,,,,50,,,,,,,,,,wlan,Cusco,260,Portal de Carnes,+51 84 256610,,,,,,,,,,,,,,,,,,,,,https://www.facebook.com/Papillon-Restaurant-664300166930388/,Papillion,Le Papillon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,POINT (-71.9787511 -13.5158079),30983668,0.0021251878034739373
900138358,node/900138358,node,restaurant,,Kusykay Peruvian Fusion Food,Mo-Su 11:00-22:00,POINT (-71.9794096 -13.5147029),,,,,,,,,,,,,,peruvian,wlan,,410,Huaynapata,+51928047528,,,,,,,,,,,,,,,,,,,,,,Kusykay Peruvian Fusion Food,,08000,kusykayrestaurant@gmail.com,Kusykay Peruvian Fusion Food,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,POINT (-71.9794096 -13.5147029),30972890,0.0015815972338125502
900149248,node/900149248,node,restaurant,,Chicha por Gaston Acurio,Mo-Su 12:00-22:30,POINT (-71.9805442 -13.5171994),,,,,50,,,,,,,,,peruvian;fusion,,Cusco,261,Calle Garcilaso,+51 84 240520,,,,,,,,,,,,,,,,,,,,,,,,,reservacionescusco@chicha.com.pe,,Chi Cha Por Gaston Acurio,2,http://www.chicha.com.pe/es/cusco,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,POINT (-71.9805442 -13.5171994),30983668,0.0003510085184169397
942843771,node/942843771,node,fuel,yes,Petro Plus,,POINT (-72.0468116 -13.4936159),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,POINT (-72.0468116 -13.4936159),10789386304,0.0011276803093066183
942844233,node/942844233,node,fuel,yes,Primax,,POINT (-72.023386 -13.5042595),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,POINT (-72.023386 -13.5042595),3248632943,0.002309579972634949
953494080,node/953494080,node,restaurant,,Restaurante japonés Kintaro,"Mo-Sa 12:00-14:30,18:30-21:30",POINT (-71.9798375 -13.5159996),,,,,,,,,no,,,,,japanese,wlan,Cusco,334,Plateros,+51 84 260638,separated,7,,,,"2piso, 334 Plateros Cusco Peru",,,,,,,,,,,,,no,,,Restaurante japonés Kintaro,,,,Japanese Restaurant KINTARO,,,http://www.cuscokintaro.com,yes,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,POINT (-71.9798375 -13.5159996),1831718180,0.0011281567710202999
965378786,node/965378786,node,school,,Escuela San Cristobal,,POINT (-71.97908339999999 -13.5130604),,,,,,,,,,,,,,,,,,Arco Iris,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,POINT (-71.97908339999999 -13.5130604),30972890,0.002869508703596052
965501710,node/965501710,node,parking,,,,POINT (-71.9793481 -13.5132792),,,,yes,6,no,street_side,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,POINT (-71.9793481 -13.5132792),30972890,0.002534384621561628
966049990,node/966049990,node,bank,,InterBank,Mo-Fr 09:00-18:00; Sa 09:00-13:00,POINT (-71.9772148 -13.5199227),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,POINT (-71.9772148 -13.5199227),3738278158,0.0006701224365714795
966052944,node/966052944,node,pharmacy,,InkaFarma,,POINT (-71.97838400000001 -13.5185511),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,POINT (-71.97838400000001 -13.5185511),30983435,0.00020757018090992552
966357605,node/966357605,node,bank,,Banco de la Nación,Mo-Fr 08:30-15:30; Sa 09:00-13:00,POINT (-71.9781385 -13.5188426),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,POINT (-71.9781385 -13.5188426),30983435,0.0002581094341537724
966359310,node/966359310,node,toilets,,,,POINT (-71.98086240000001 -13.5154452),,,,,,yes,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,POINT (-71.98086240000001 -13.5154452),30972890,0.00014176741515572718
966363789,node/966363789,node,bank,,BCP,,POINT (-71.9794206 -13.5162122),,,,,,,,,,,,,,,,,,Plaza de Armas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,POINT (-71.9794206 -13.5162122),30983668,0.0013436061997552198
966363934,node/966363934,node,bank,,,,POINT (-71.97909180000001 -13.5172551),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,POINT (-71.97909180000001 -13.5172551),30983679,0.0011808964222144403
966364026,node/966364026,node,atm,,ATM BCP,,POINT (-71.9796158 -13.5165631),2022-11-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BCP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,POINT (-71.9796158 -13.5165631),30983668,0.0010274748123443027
966364311,node/966364311,node,school,,Institución Educativa Maria Auxiliadora,,POINT (-71.97760100000001 -13.5144818),,,,,,,,,,,,Ubicacion_web_med (local),,,,Cusco,375,Palacio,,,,,,Cusco,Jiron Pumacurco 375,Cusco,Cusco,3400,1;2,0234971;0236737,minedu.gob.pe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,POINT (-71.97760100000001 -13.5144818),30983949,0.0027431677345734133
966364584,node/966364584,node,university,,Facultad de Derecho Unsaac,,POINT (-71.9783384 -13.5178761),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unsaac,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,POINT (-71.9783384 -13.5178761),30983434,0.0007063800464311554
967194687,node/967194687,node,cafe,,CocaShop2,,POINT (-71.9790563 -13.5111872),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,POINT (-71.9790563 -13.5111872),30966142,0.0029554191327094003
978145632,node/978145632,node,place_of_worship,,Iglesia de la Recoleta,,POINT (-71.9652696 -13.5163516),,,christian,,,,,,,,,,,,,,,Plazoleta Recoleta,,,,Q83389656,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,POINT (-71.9652696 -13.5163516),31002811,0.001070158455556219
991381314,node/991381314,node,fuel,yes,Grifo Marcelo's,,POINT (-71.9563479 -13.5285004),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,POINT (-71.9563479 -13.5285004),472614568,0.00018483909218904065
991381335,node/991381335,node,restaurant,,Cevicheria Las Machitas,,POINT (-71.9617688 -13.5305717),,,,,,,,,,,,,,Peruvian;Ceviche (marinated fish),,,F-9,Avenida Perú,,,,,,,,,,,,,,,,,,,,no,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,POINT (-71.9617688 -13.5305717),30970702,0.0010893428340073795
